10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,
10.0,18.0,26.0,34.0,43.0,51.0,60.0,67.0,77.0,86.0,96.0,106.0,112.0,122.0,131.0,139.0,147.0,157.0,165.0,173.0,183.0,192.0,201.0,210.0,220.0,229.0,239.0,247.0,255.0,
